src,dst,add_st,mul_st
21,5,1.0,1.2
21,6,0.0,1.0
21,7,0.0,1.0
21,8,1.0,1.1666666666666667
21,9,3.0,1.6
21,10,2.0,1.6666666666666667
21,11,2.0,1.6666666666666667
21,12,4.0,2.0
21,13,0.0,1.0
21,14,2.0,1.6666666666666667
21,15,2.0,1.4
21,16,1.0,1.25
21,17,2.0,1.6666666666666667
21,18,0.0,1.0
21,19,0.0,1.0
21,20,2.0,1.5
21,22,2.0,1.4
21,23,0.0,1.0
22,1,2.0,1.4
22,2,2.0,1.6666666666666667
22,3,2.0,1.5
22,4,2.0,1.5
22,5,3.0,1.6
22,6,0.0,1.0
22,7,0.0,1.0
22,8,4.0,1.8
22,9,6.0,2.5
22,10,4.0,2.3333333333333335
22,11,3.0,1.75
22,12,0.0,1.0
22,13,0.0,1.0
22,14,0.0,1.0
22,15,0.0,1.0
22,16,3.0,1.75
22,17,0.0,1.0
22,18,2.0,1.5
22,19,0.0,1.0
22,20,0.0,1.0
22,21,2.0,1.4
22,23,0.0,1.0
23,1,2.0,1.5
23,2,0.0,1.0
23,3,1.0,1.25
23,4,0.0,1.0
23,5,0.0,1.0
23,6,1.0,1.25
23,7,0.0,1.0
23,8,0.0,1.0
23,9,2.0,1.4
23,10,3.0,2.0
23,11,2.0,1.5
23,12,2.0,1.6666666666666667
23,13,0.0,1.0
23,14,0.0,1.0
23,15,0.0,1.0
23,16,0.0,1.0
23,17,0.0,1.0
23,18,0.0,1.0
23,19,0.0,1.0
23,20,0.0,1.0
23,21,0.0,1.0
23,22,0.0,1.0
